"text","class"
"turkcell le baglanamiyoruz hayata.farkindami turkcell.gece insanlar uyuduktan sinyal kesmek ne demek.habersiz hemde.acil durumda ne olacak", "olumsuz"
"_frknay turkcell kaziGi diyoruz biz ona.", "olumsuz"
"basgan bedava maCin garantisi yok beyler turkcell 250 mb interneti dayiyacaklar millete. ya maC paketi ya da internet verecekmis. gereksiz", "olumsuz"
"2 saat Once ek bir gb internet yaptim Su an 897mb kalmiS abv turkcell", "olumsuz"
"koskoca karabUkte senin olduGun yerde turkcell nasil Cekmiyo ya 4.5g yapcaniza baz istasyonunuzu geliStirin", "olumsuz"
"tecavuzcu destekcisi turkcell abneler gunu icin cocuklari kullaniyor reklaminda tacizci serefsiz turkcell turkcell", "olumsuz"
"bip uygulamasini yUkleyene turkcell 1 gb internet veriyor ama o kadar yavaS ki ayni zamanda kanser ediyor", "olumsuz"
"turkcell senin ben. ta djyecem. verici algilamiyo isterseniz ben arkadaSim radar i. getirecem huhu", "olumsuz"
"tamam anneler candir canandir da... babalar da bu kadar vasifsiz sorumsuz ve iSe yaramaz deGil be kardeSim. Cok bozdun turkcell.", "olumsuz"
"evet turkcell OGlen attiGim mesajlara gecenin bi yarisi dOn dUnyanin en saCma sistemi ya sjxndkflb", "olumsuz"
"bu arada turkcell hattimi vodafone'a taSidim. politik tivit ^^^^", "olumsuz"
"paketimin bittiGini on dk sonra sOyleyen ama aninda faturaya yansitan turkcell allah seni de bildiGi gibi yapsin....", "olumsuz"
"bu arada telefonumu turkcell den baSka bir hatta CevireceGim ensar i destekleyen bir operatOr kullanmam", "olumsuz"
"#armes turkcell bayii rezalet! ! en basit hat iSlemi iCin bile ortalama 30 dk bekletme garanti! ! bomboS vakti ve sabri olmasi lazim yoksa |02", "olumsuz"
"tUrkcell'den nefret ediyorum! turkcell turkcellhizmet turkcellnews", "olumsuz"
"turkcell israrla ^ben pedofili destekCisiyim diyor^ o halde biz de israrla kullanmayacaGiz kullandirtmayacaGiz. #tecavUzcellensarelele", "olumsuz"
"telefona tl atinca telefonu hemen sessize aliyorum CUnkU turkcell 1000 tane mesaj atiyor", "olumsuz"
"Cekmeyen telefon yapmiSlar yoksa turkcell neden istanbulun merkezinde Cekmesin dimi |00", "olumsuz"
"turkcell mUzikten ne istediniz allahsiz bilgi iSlem |12", "olumsuz"
"evet toplam 24mb interneti turkcell bana ne ara kakalamis ve ben bunun nasil farkinda degilim |12", "olumsuz"
"turkcell in winn interneti durmadan kesiklik yapiyr baSka kullanan varmi bilmiyorm        ", "olumsuz"
"bugUn iSsiz gUCsUz turkcell yUzUnden bir tweetime eriSim engeli konuldu. hakaret itham yoktu sadece pedofili ve turkcell ayni cUmledeydi.", "olumsuz"
"turkcell'in 350 tl iptal bedeli istediGi vin'i hiC tanimadiGim kahveciye verdim onlar kazanacaGina emekci halkim kullansin.", "olumsuz"
"an itibariyle gUle gUle turkcell. artik OdediGimiz paranin Cocuk tacizcisi barindiran vakiflara gitmediGini bilmek gUzel bir duygu.", "olumsuz"
"#yavuzhirsizensarcell turkcell kullanma kullandirtma. tecavUzcUlere sponsor olma. (kamu spotu)", "olumsuz"
"tecavUzcUsUn turkcell #yavuzhirsizensarcell", "olumsuz"
"ensar destekCisi turkcell 5 twitimi Sikayet etmiS. dava aCilsin ipliklerini pazara Cikaran mustafahos 'u tanik gOstereceGim:)", "olumsuz"
"ensar destegi yuzunden turkcell'in itibari nezdimde sifirlanmistir...", "olumsuz"
"turkcell mUSteriyim kaziklama hedefi her geCen gUn batiyor samimi sOylUyorum vodafone gecin size verilen degeri gOrUn turkcell", "olumsuz"
"millet 4.5g hizinda biz hala cekmeyen Sebeke ile uGraSiyoruz. bunu yapan da turkcell. sOzde en iyi Cekim alanina sahip gsm Sirketi.", "olumsuz"
"#turkcell hoSCakal turkcell sOzleSme bitti abonen gitti. ensarla iyi gUnler dilerim. iSim olmaz senle. by bye", "olumsuz"
"Cebi abicim tl yUkledi ama turkcell i bUtUn tl leri aldi aGlicam resmen", "olumsuz"
"turkcell'in bUtUn mUSteri temsilcisi telefonlarini engellediGimden beri kafam rahat |46", "olumsuz"
"turkcell'in maddi zararini hakkinda twit atan kiSilere aCtiGi manevi tazminat davalari ile kotarmaya CaliSmasi da ne bileyim yani.", "olumsuz"
"turkcell ag kurmuS..istanbul da ki bir Sirketle..tc her yerinde kimlik bilgilerine ulaStiklarina sanirim..tel satmiS..haberimiz yok!", "olumsuz"
"yetimoglu hukuk bUrosundan.kontUrlU turkcell hattima gelen! borcu Odeme sOzU verdiniz Odeyin diyen100 lerce sms! sabah akSam! hesap verecek!", "olumsuz"
"ne borcu..ne sOzU!! iS.. mahkemede....evime icra gelecekmiS...yUzlerce sms! hukuk bUrosunda..turkcell cevap ver!! Saka olmali bu!!", "olumsuz"
"davayi aCmiSim..gOya turkcell e borcumu Odiycem demiSim...yUzlerce sms bu konuda..sabir taSi olsa Catlardi...! inanin bana?!! kimse dayanmz!", "olumsuz"
"turkcellhizmet turkcell soyguna devam ediyor.faturalariniza dikkatli bakin.farkinda olmadan soyuluyoruz.", "olumsuz"
"turkcell superonline;sana her ay 59 t yatirdiGim iCin ve senin internetini kullandiGim iCin de kendim den nefret ediyorum ucuz kurum...", "olumsuz"
"fizy turkcell in satin alip berbat ettigi bir uygulama olarak hafizalarda yerini almisti. geri dOnUSU bakalim fark yarata bilecek mi", "olumsuz"
"tUrkcell mUSterisini kaderine terk ediyor dolandirilmamiza Canak tutmak bu ilgisizlik. yine mahkemelik ben #turkcellibirakiyoruz #turkcell", "olumsuz"
"kirk saatir telefonun baSinda turkcell'in mUSteri hizmetlerine baGlanmayi bekliyorum artik illallah ettim Sunlardan", "olumsuz"
"turkcell bugUn yeni telefonu olan t70'i tanitti ama cihaz barindirdiGi Ozelliklere bakildiGinda t60'in Cok gerisinde kaliyor.", "olumsuz"
"ecmceliker turkcell leri kapattik", "olumsuz"
"15 yildir Uzerimde kurulan turkcell hegomanyasini yikarak Cok kisa sUre iCinde turk telekom'a geCiyorum..", "olumsuz"
"turkcell'e inanilmaz sinirlendim burdan tweet attim. gezide atmadiGim kadar tweet atmiSimdir. bulunduGum Sehirde olduGu kadar iSte katildim", "olumsuz"
"turkcell hattimdan gOnderdim kudursun ensar destekCisi turkcell #egitimyaz4622yeyolla", "olumsuz"
"turkcell sponsor olduGun kurumdan utanmayip ; tepki gOsterene COkmUSsUn ; ne ben ne ailem bundan sonra turkcell kullanmayacak", "olumsuz"
"kaan_terzioglu defalarca aramamamail atmamaturkcell ofislerne gidip konuyu aktardiGi m halde benim iletiSim hakimi engellediniz kiniyorum", "olumsuz"
"kaan_terzioglu turkcell e hiC bir borcum olmadiGi hAlde iletiSim hakkimi engellediniz gUnlerdir COzUm adina gayret gOstermediniz kiniyorum", "olumsuz"
"allah seni kahretsin turkcell gibi ya", "olumsuz"
"formula hybrid yariSinda tek tUrk takim olan atilim Uni. yerine amerikan yale Unisini destekleyen turkcell'i#protestoediyorum nihatsirdar", "olumsuz"
"hoSCakal taciz ve tecavUz destekCisi turkcell. umarim batarsin turkcell turkcellhizmet ensarvakfi", "olumsuz"
"umitalan 4bucakg deyipancak 3-5 bucaGa yetiSenvermedGi hizmetifaturaederek en az turkcell kadar kerizyerinekoyan opr.e vodafonetr denir.", "olumsuz"
"bugUn OGrendim ki turkcell kendi CaGri merkezi personeline upload'un kotadan yediGini henUz haber vermemiS.", "olumsuz"
"an itibari ile turkcell platinum out vodafone red in |32 |18 vodafone arena da maksimum hiz maksimum performans |46 |24 |46 |46", "olumsuz"
"ayda 200 tl fatura odeyipte internetin kullanamadiGi bir Ulke tanimiyorum dUnyayi dolaSiyorum ama turkcell gibi serefsizini gormedim", "olumsuz"
"taahhUt'Um bittiGi dakika turkcell'den vodafone'a geCeceGim gel eylUl gel!", "olumsuz"
"turkcell'in sOzde hediye tl verip paket varken bile Once bu tlleri kullanmasi sinirlerimi bozuyo.", "olumsuz"
"turkcell beni ayfon telefona bimcell hat almaya zorluyor.", "olumsuz"
"babam bugUn turkcell CaGri merkezindeki robota o kadar sinirlendiki ben hayatimda hiC o kadar iCten bi allah belani versin duymadim zndndjjd", "olumsuz"
"ulan turkcell sOz verdin baz istasyonu kurmadin", "olumsuz"
"turkcell'i birakma zamanim geldi de geCti bile!!", "olumsuz"
"turkcellboykot turkcell 1997 den beri kullandiGim turkcell den ensar olayindan sonra bugUn ben de kurtuldum.:)", "olumsuz"
"bende artik turkcell iolmayacaGim. ensar ci tacize destek yok.", "olumsuz"
"#niyeuyumadimbiliyormusun  kaC saattir turkcell host ariyorum |05 |05", "olumsuz"
"siz en iyisi ne yapin biliyormusunuz? turkcell hattimi superonline aboneligimi iptal edin anlaSalim |41 kaan_terzioglu turkcellhizmet", "olumsuz"
"andddd 12 senelik turkcell maceramiz son buldu #turkcelllesansurlehayati #ensarcell", "olumsuz"
"bye turkcell nihahaha turkcellhizmet kurtuldum senden", "olumsuz"
"eskiden arama kutularina turkcell yazinca tarifeler Cikiyordu Simdi destekledikleri tecavUzler Cikiyor turkcell turkcellhizmet", "olumsuz"
"turkcell kadar ticari etiGi olmayan firma gOrmedim. yeni bir vinn paketi aldim. aninda iCinde kullanim hakki bulunan eski paketi yok etti.", "olumsuz"
"guldenyigo istanbulun gobeginde cekmeyen turkcell kapatsin gitsin dUkkaniturkcellhizmet turkcell", "olumsuz"
"kokoniss nasil bir yere merkez yaptilarsa turkcell bile Cekmiyor abi inceledikCe kuruluyorum molotof aticam yarin bunlarin Sefi kim ?", "olumsuz"
"turkcell superonline yapmadiGimiz telefon gOrUSmesinin faturasini bize Cikarman yetmiyor Odemedik diye neti kisitliyorsun", "olumsuz"
"yine yeniden allah belani versin turkcell...", "olumsuz"
"turkcell bu 4.5g sorunu COzmeliyiz!!!!", "olumsuz"
"turkcell Simdi de soygunculuGa baSlamiS. 4.5g uyumlu hat Ucretsiz iken aldim faturama yeni sim kart bedeli 20 lira yansimiS.", "olumsuz"
"benden bu kadar turkcell. yarin seninle 13 yillik iliSkimiz bitiyor.", "olumsuz"
"iyi geceler genCler sapik ensar vakfi sponsoru turkcell kullanmayin kullandirtmayin", "olumsuz"
"ya turkcell pahali falan ama int hizli deGiyo yani fkdmvOf", "olumsuz"
"resmen turkcell bana sagliyacagin inteernetin hizini .. bu twiti ne kadar zamanda atcaksin acep", "olumsuz"
"son olarak; turkcell 'her tUrlU' piSmanliktir. superyardim superonlinetr turkcell turkcellboykot turkcellhizmet tcellplatinum", "olumsuz"
"rejimin genUS sansUr yelpazesinden yararlanan ve iSbirliGi yaptiGi kurumlar iCin OzUr dilemekten aciz turkcell'i asla kullanmayacaGim.", "olumsuz"
"bir marka kendi kendini nasil bitirir gOrmek iCin turkcell'in rezil kriz yOnetimine bakmaniz yeterli. gazeteciyle uGraSan marka mi olur ya?", "olumsuz"
"evimizde rahat rahat internete girmeye #hasretkaldik CUnkU innovia da turkcell Cekmiyor. hem int. hemde tel Cekmiyor turkcellhizmet", "olumsuz"
"#seritecavUzcUensar'a desteGini hala CekmediGi iCin turkcell'i birakiyorum turkcellhizmet", "olumsuz"
"turkcell satip 2 aydir 5 saat telefona cvp vermeyip al tarafi hasar dosya numarasi veremeyen turkcelle selamlar.", "olumsuz"
"artik eminim turkcell superonline benim sesimi Cok seviyor yoksa yaGmurda yada rUzgarda hemen netin kesilmesi kadar saCma bir Sey olamaz.", "olumsuz"
"hirsiz turkcell", "olumsuz"
"turkcell 1gb hediye yollamiS bir de UstUne 7 ay boyunca yani korkuyorum acaba bunun acisini faturaya nasil yansitacak sOzde hediye ama :d :d", "olumsuz"
"ben bu 8gb interneti iki haftada bitirmiS olamam allahin belasi turkcell benden alip milletemi hediye ettiniz", "olumsuz"
"knk vodafone'a geCmem lazim turkcell Cekmiyor |04 hazelkhrmn7", "olumsuz"
"turkcell superonline allah belani versin hizli diye aldik kesintisiz dizi izlemek deGil rahatCa sosyal medyaya giremiyorum pUU mikroplar", "olumsuz"
"allah turkcell in belasini versin diyor ve ayakta alkisliyorum |38 |38 |38", "olumsuz"
"turkcell 4.5 g dUn ve bugUnden beri CaliSmiyor bugUn de yapacagini yapti turkcell den ayrilma vakti geldi #iyikidoGdunyUceatatUrk", "olumsuz"
"turkcell superonline da Civitti", "olumsuz"
"turkcell Cekmiyor genCler turkcell inanabiliyo musunuz |09", "olumsuz"
"4.5g reklamlarini izleyince sinir katsayilarim artiyor. telefonum avea Cekmiyor internetim turkcell win Cekmiyor sizi allah'a havale edyrm", "olumsuz"
"turkcell piSmanliktir.", "olumsuz"
"tcellplatinum 19 mayis diye sinema kampanyasini iptal etmekte bUyUk iS.. zaten yeterince sorun yaSiyordum en kisa zamanda bay bay turkcell", "olumsuz"
"telefona 30 tl yUkledim 21 tl vergi borcu kesildi. turkcell teSekkUr mesaji atti UstUne xd", "olumsuz"
"* ev kirasinin yarisini turkcell'e OdUyorum teSekkUrler 4g !!! turkcell turkcellhizmet", "olumsuz"
"lan turkcell bana kazik atiyor diye onu terk ettim aveaya geCtim oda ayni halti yediimdat diye baGiracammmm artik |12 |12 |01", "olumsuz"
"ademilter fatihboy turkcell turkcell'i birakmam icin bir sebep daha verdiler.", "olumsuz"
"turkcell'de konuskazan tarifesi'nde dakika ucreti 1 haziran'da 39 kurustan 60 kurusa cikiyor! cok az(!) zam yapmislar!!!!!!!!!!!!!!!!!!!!!!!", "olumsuz"
"turkcell ile bagimi kopardim cok sukur. sen de utandirma avea.", "olumsuz"
"turkcellhizmet yaklaSik 1 senedir defalarca sizi aramama raGmen demetevler 359.cadde'de turkcell Cekmiyor! ankaranin en kalabalik semtinde", "olumsuz"
"tUrkcellkappadokya da turistik gOrememin tam ortasinda 4.5 g hiC Cekmiyor. ;( sUper saCma #turkcell #4.5g #3g #internet #hiz #:( #eu", "olumsuz"
"turkcell CekiyormuS gibi yapiyor ama Cekmiyor |46 turkcell", "olumsuz"
"var ya bunlar kariSik falan deGil UC reklamda bi turkcell ve selocanlari Cikiyo kimi kandiriyosunuz Cok sinirliyim", "olumsuz"
"eksik bilgi olmasin uzuuun zaman evvel braktim turkcell'i. faturalari SiSiriyorlardi.", "olumsuz"
"turkcellhizmet turkcell ?! tekrar gitti karti takip Cikarmak da iSe yaramiyor artik son ne servis neden yok 4.5 mi gOCtU?", "olumsuz"
"turkcell bildigin rezaletsin iki gundur!! surekli hat kopuyo surekli arama hatasi is yapamiyoruz! lanet olsun hakikatten ya! tcellplatinum", "olumsuz"
"pnarktrc milleti iGrenC reklam kampanyalariyla operatOrUnU deGiStirtmeye zorlayan turkcell uyuz oldum ya her yerde salak reklam", "olumsuz"
"turkcell beni geriyooooooooooo", "olumsuz"
"turkcell t(60)aldim almaz olaydim sistem COktU fakat yardimci olan yok bumudur hizmet kaliteniz", "olumsuz"
"turkcell e facebook ta yorum yaptim beS dakika sonra yorumu sildiler silmek yerine hizmet ver ozaman", "olumsuz"
"samsung akilli tel.turkcell menU altinda vuris saldirisi duyurulur", "olumsuz"
"turkcell denen kurum halki enayi yerine koyan zannediyor ki devlet her kanunu postayla halka bildiriyor :d", "olumsuz"
"turkcell superonline denen kurum kendini anayasadan kanunlardan daha UstUn zannediyor herhalde eskiden buralarin aGasi bunlardi", "olumsuz"
"gseynova ayni sebebten vodafone'a gectim cok da iyi yapmisim. cok memnunum. 600bin kisi birakmis turkcell'i.. beter olsunlar!", "olumsuz"
"superonlinetr taahhUt bedeli neyse Odeyip iptal etmem sizin iCin daha mi iyi? buna mi uGraSiyorsunuz? gerCekten turkcell piSmanlik.", "olumsuz"
"turkcellhizmet malesef turkcell yillardir duzenli odedigim faturalarin karsiligini bir cevap bile veremiyerek vermistir", "olumsuz"
"turkcell turkcell yetkilileri malesef bir sonuc elde edemedik otomatik mesaj atmak sonuc vermemektedi", "olumsuz"
"turkcell sUperonline Uyesi olmak istiyenler vazgeCin.Cok piSman olursunuz", "olumsuz"
"pazartesi gUnU tUketici mahkemesine turkcell sUperonline hakkinda dava aCicam.ayrica savciliGa dolandiricilik Sikayetinde bulunucam", "olumsuz"
"turkcell ve sUperonline tarafindan maGdurum.5 gUn ev interneti kesilince telefondaki internet paketim 2 gUnde bitti.", "olumsuz"
"turkcell beladir bu karttan bu hattan kurtulmak lazim", "olumsuz"
"allahin cumartesi gUnU neden 875 kere arar bi insan lan turkcell telefonun Sarjini bitirdin", "olumsuz"
"red mUSteri hizmetlerini Ucretli yapmiSsiniz..bravo gerCekten.herSeyi kaktiran turkcell'leSme yolunda baSarilar vodafonedestek vodafonetr", "olumsuz"
"her gUn 1 gb internet paketi almak zorunda birakan ve 8gb tanimlama konusunda COzUm Uretemeyen; turkcell! hep aklimdasin |38 |38 tcellplatinum", "olumsuz"
"turkcell sUperonline 5 gUndUr internet hizmeti vermiyor ama abonelik iptali iCin 290 tl para istiyor.bu nasil bir anlayiStir bOyle", "olumsuz"
"allah dUSmanimi bile turkcell sUperonline abonesi yapmasin.taS devrinde internet gibi bir ironi turkcell sUperonline'in hizmeti", "olumsuz"
"her Seyinizi Sarta baGlamiSsiniz maSallah turkcell reklamlarinda alt Seritten hizli hizli geCenlerden fazla Sartiniz var..", "olumsuz"
"turkcell sUperonline abonesi olduGum gUne lanet olsun.turkcell sUperonline'in altyapisi yok ariza olunca tUrk telekom'a tabiler", "olumsuz"
"turkcell sUperonline'a sakin abone olmayin yanarsiniz.5 gUndUr internette yok telefonda.taS devrini yaSamayin turkcell sUperonline ile", "olumsuz"
"turkcell sUperonline 5 gUndUr CaliSmayan internet iCin hiC bir Sey yapmiyor.sadece yalanlarla zaman kazaniyor", "olumsuz"
"garanti / turkcell kullanmaktan son derece memnun olduGum iki kurumdu! bugUn Su dakikaya kadar! garanti turkcellhizmet turkcell", "olumsuz"
"turkcellhizmet hakkimi sonuna kadar arayacagim!!!!!!!!yaziklar olsun turkcell!!!!!", "olumsuz"
"2 gUn sonra turkcell'de 3gb'li pakete verdiGim paranin aynisini avea'da 7gb'lisina veriyo olucam + dakika sms iki kati kOpeGin olayim avea", "olumsuz"
"adima bilgim dahilinde olmayan saCma sapan bir turkcell hatti aCilmiS. arkadaS kimlik de mi sormadan veriyorsunuz anlamiyorum ki.", "olumsuz"
"turkcell adamdir", "olumsuz"
"Turkcell sabahtan beri 0.01 kurus alip alip duruyor yeter biktim al hepsini kurtulayim durup durup isik yaniyor.", "olumsuz"
"ah turkcell niye bir tek benim mesajlarimi gondermemekte bu kadar israrcisin acaba naptim ben sana bak kontor de yuklemisim daha ne istiyon?", "olumsuz"
"Ulan sinava 8 saat kala turkcell internetimi kesti yarin sinavda internetten kopya cekicektim:", "olumsuz"
"turkcell interneti hizli ama gereksiz yere bitmesini anlamiyorum yau", "olumsuz"
"Normal zamanda takmayan ama para yukleyince ard arda 10 tane mesaj atan Turkcell'e sesleniyorum. Beni param icin mi seviyorsun?", "olumsuz"
"Sevgili Turkcell bitti... 2 gundur mesaj atmiyorsun .s.s. Bunun mantikli bir aciklamasi olamaz .s.s. Hoscakal :(", "olumsuz"
"2 saat once yuklemeye calistigim 20 liranin ancak turkcell hattima gelmesindeki sorun turkcellin bana gicikligidir sanirim..", "olumsuz"
"Sirf reklamlarinin guzelligi ve icinde gecen Turk kelimesinden dolayi Turkcell kullananlar olarak toplansak Viyana'yi bile kusatabiliriz.", "olumsuz"
"Turkcell surekli reklam yapip duruyor Tmm seviyorum seni kullaniyorum da ama lutfen her yerde 4 cekiyor deme ya cekmiyor iste", "olumsuz"
"Turkcell heryerden cekiyomus bok ya okulun havuzuna iniyoruz orda bile cekmiyo", "olumsuz"
"Turkcell'e geri dondumm!! Sagolsun bana kazik yemenin ne oldugunu hatirlatti. iyi ki varsin Turkcell", "olumsuz"
"birnden mesaj beklerkn turkcell'den birden ve tam o zamanda gelen mesajlara sovuyodum smdi isn icine twitterdan gelen mesajlarda grdi iyi mi", "olumsuz"
"Rekabet Kurulu'ndan Turkcell'e sorusturma http://bit.ly/OwZ9z2", "olumsuz"
"sms neden iptal edilmezki ya. sonuna kadar kullanmak istesem iptal etmezdim zaten dimi? ne malsin turkcell", "olumsuz"
"senin basinda kimler var bi bulursam gotunden terletcem turkcell ! :D", "olumsuz"
"Sinirliyim. Turkcell ve damla sakizindan da nefret ediyorum.", "olumsuz"
"Turkcell'den ''Sana ozel'' diye gelen mesajin aynisini arkadasimin telefonunda gorunce anlamistim kimseye guvenmemem gerektigini...", "olumsuz"
"Ali Poyrazoglu davudi bir sesle siz de Turkcell Platinium uyesi olun havas ile ucretsiz transferden yararlanin diyor kafayi yedi Turkcell", "olumsuz"
"Turkcell sen bana konusma ver diye 50 tl mi yukleyim canim 30 yukledim onuda yedin zaten kaldi elimde 15 lira.nereye gitti telelerim!!", "olumsuz"
"Senden nefret ediyorum paketimin bitmek uzere oldugunu haber veren ve inadina bittikten cok sonra gelen turkcell mesaji", "olumsuz"
"Ha  bu Turkcell kampanyalari da cook bilinmeyenli denklem gibi. :)", "olumsuz"
"Bir tane soyle tumden paket yok lan uygun Turkcell'de.", "olumsuz"
"Turkcell hani cekim gucu he ? Odamdan bile zor cekiyorsun tobe ...", "olumsuz"
"<MiLLiYET> Turkcell'e 'arac takip' sorusturmasi http://dlvr.it/1xxtmY  #haberemi", "olumsuz"
"facebook'la turkcell sacma promosyon'da kapisiyorlar. ben de keyifsiz bicimde izliyorum.", "olumsuz"
"Sonunda turkcell cekmeye basladi 8-9 saattir cekmiyordu internete de giremedim hayattan koptugumu hissettim :?", "olumsuz"
"su turkcell airties zikkimina gectigimiz gune lanet olsun. bu ne yavas internet!", "olumsuz"
"Turkcell M.H : Saga donmek icin 1'i sol icin 2'yi onum arkam diyorsaniz 3'u Allah cezanizi versin diyorsaniz da 4 'u tuslayabilirsiniz.", "olumsuz"
"Annemin telefonu dort cekerken benim ki nie hic cekmiyor anlamadim : / bana turkcell'in bir oyunuuu muu bu ?", "olumsuz"
"Sende neymissin be sevgili. Turkcell Musteri Hizmetleri' ndekilere bile yarim saatte anca ulasabiliyorum.", "olumsuz"
"Turkcell kardesimizin aldigi vergiden dolayi mesaj hakki yapamiyorum :S Hayirlisi be gulum:D", "olumsuz"
"gizemgulsoyy turkcell bize sokup sana hediye ediyo allala", "olumsuz"
"Turkcell musteri hizmetlerine attigim tweet sonrasi eve tespite geliyorlar pzt... Bakalim bise fark edecek mi...", "olumsuz"
"Turkcell'in tunel reklami yuzunden bende klostrofobi olusmaya basladi.", "olumsuz"
"Sevgili Turkcell 50 MB internet paketini almiyorum lan. Al-mi-yo-rum! Biktim ya sabah aksam mesaj hem neden illa 50 MB neyin pesindesin?", "olumsuz"
"Bu aralar Turkcell hic mesaj atmiyor yoklugunu hic hissettirmeyen canim dostum bilmem ne market. Gomulu resim icin kalici baglanti", "olumsuz"
"ya bu turkcell ne nahlet bisey olduu yaaa.hayvan kadar baz istasyonlari var dibimizdeee .ne cekiyo anlamadim yani.nys.", "olumsuz"
"Bence turkcell reklamini kesinlikle vodofone yapmis yoksa ben o operatorun bir uyesi olamam", "olumsuz"
"Turkcell mail atti:iPhone 5 14 Aralik'ta Turkcell'de.Detaylar icin tikla. diye. Tikliyorsun 14 Aralik'ta gelecek diyor baska bir sey yok.", "olumsuz"
"turkcell e gececektim bu turkcell style reklamindan sonra kafamda soru isaretleri olustu. emegi gecen kim varsa allah kahretsin sizi", "olumsuz"
"Turkcell style hezimetini yeni izledim. Hadi yaptiniz bir hata biraz gec olmadi mi zamanlama?", "olumsuz"
"Bu saatte mesaj atma bari Turkcell hayir bosyere yatakta telefon bulma mucadelesine giriyorum.", "olumsuz"
"#turkcell o reklam neyin kafasnda cekildi. Turkcell kullanicisi oldugumdan utandimm.", "olumsuz"
"Kafamda turkcell style caliyor amk bu reklamlar bilinc altimizi becerdi...", "olumsuz"
"1999'dan kalma SiM kart ile bile canavar gibi calisti bu yontem. Turkcell'e Nano SiM icin para kaptirmayin: http://www.airportal.de/nanosim/#.UL0zsYKmsW4.twitter .", "olumsuz"
"Sevgili Turkcell iCT posta kutumun dolulugunu bildiren ve arsivleme konusunda akil veren mail yerine posta kutumun MB yukseltsen olmaz mi?", "olumsuz"
"koskoca turkcell'in yaptigi reklama bak! turkcell stylemis mis.", "olumsuz"
"turkcell gangnam style reklamiyla yine en kotu reklam yapma birinciligini kimselere birakmadi.", "olumsuz"
"Gangnam stayla calinmayan bi ulke soyleyin gidicem bu nedir yaaa... Bir de turkcell staylaa cikti basimiza!!!", "olumsuz"
"Millet turkcell reklamini konusurken 'haha ben gormedim daha haha' diyordum.Gordum ve hayattan soguma hizim isik hizini gecti.", "olumsuz"
"Can Yucel: Baglanmayacaksin. Turkcell Superonline: Ben de oyle yapiyorum zaten.", "olumsuz"
"Turkcell'in gangnam style reklamindan kusucam artik off", "olumsuz"
"Su salaga bi mesaj atiyim da Sevgilisinden geldi sansin - Turkcell", "olumsuz"
"Ne oluyor biliyor musun yagmur gok gurultusu simsek turkcell birlesmis sosyallesmemi engelliyor amk !", "olumsuz"
"Yuh turkcell insafsiz turkcell ** nolu hattinizin yurtdisindaki data kullanimi 282MB i asmis8431 TL ye ulasmistir. ", "olumsuz"
"O turkcell style reklamini yazan akli sikiyim yayinlayan akli iki kere sikiyim amk o ne", "olumsuz"
"Turkcell style reklamini yazan kisiyi 7/24 dovmelik islak odun gelmistir", "olumsuz"
"internetim o kadar hizli ki basim dondu yani!! Dandik bi foto indiricem 1 saattir bir de full cekiyor gorunuyor Turkcell in cekim gucu (!)", "olumsuz"
"Turkcell de once mustafa sandal simdi turkcell style reklamiyla iticilikte basi cekiyor.", "olumsuz"
"Turkcell'in reklami ne kadar kotu ! (Turkcell style !) bir seyi de hemen taklit etmeyin ! (Onlarin tabiriyle esinlenmeyin hemen)", "olumsuz"
"Maslak 1453 reklamindan sonra ikinci buyuk reklam stratejisi fiyaskosu Turkcell Style. Bi de Gangnam haklari icin kimbilir ne para doktuler", "olumsuz"
"Gangnam style cakmasi turkcell style reklami cok iyi yaa. Bi de damat havasi calan limonata reklami. Yok boyle bir rezillik", "olumsuz"
"Turkcell zamaninda 3g yi goruntulu konusma diye tanitti milletin aklina kazindi o sekliyle. 3g = 3.nesil kablosuz telefon teknolojisi.", "olumsuz"
"Face paketim bitmis olabilir smsimde bitti ama h?l? aramalarim var ya turkcell", "olumsuz"
"Eskiden iyi geceler mesaji atan olurdu simdi turkcell atiyo ulan turkcell sende olmasan", "olumsuz"
"Bu ulkede reklamcilar kolay para kazanir olmus bkz. Rodide factoagaoglubulut insaatturkcell style  ve parafkart reklamlari", "olumsuz"
"telefonumu sadece internet icin kullaniyorum. arayan mesaj atan falan yok. bi cani sikilinca turkcell atiyo o kadar.", "olumsuz"
"Turkcell tweeter veri aktarimi ucretsiz diyorsun ama verileri aktaramiyorsun wifi olmadan tweet bile atamiyoruz:(", "olumsuz"
"Turkcell : 2 senedir personelinizi ariyorum birturlu netice alamiyorum http://goo.gl/fb/diWpm", "olumsuz"
"2 gun odemezsin Turkcell kapatir.Ertesi gun acarsin ekran bozulur iphone kapatir.Bir bu eksikti dedirten seylere bir yenisini daha ekledim.", "olumsuz"
"Turkcell in vodafone hattimi gizli numaradan aramasi nasil bir fantezidir anlamadim gitti.!", "olumsuz"
"Posta Kutusundan ckan zarf yara acti. Turkcell telefon faturami 10 sayfaya sigdirabilmis Rakam konusuna deginmiyorum.", "olumsuz"
"Turkcell bile bu kadar full cekmiyorken ONEnight hergece full :) 222ParkONEnight", "olumsuz"
"yuh diyorum turkcell muzikte ilk 100 de sadece ilk 30 sirada orhan gencebayla bir omur albumunden sarki var :D", "olumsuz"
"600 sms'in kullanmadigim 550 tanesini Turkcell'e geri verip 50 dakika isticem.", "olumsuz"
"Turkcell hayrola koccum noluo !!", "olumsuz"
